YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,605,558,-7,850,833,-17,0,,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,735,728,-7,1015,1003,-12,0,,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,915,911,-4,1200,1150,-10,0,,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1035,1026,-9,1315,1257,-18,0,,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1215,1204,-11,1455,1431,-24,0,,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1435,,,1715,,,1,A,0,,,,,
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1615,1652,37,1900,1929,29,0,,0,0,5,0,0,24
2011,12,1,4,AA,10140,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1755,,,2035,,,1,B,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,600,557,-3,725,707,-18,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,710,705,-5,840,814,-26,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,845,838,-7,1025,1012,-13,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1015,1012,-3,1150,1141,-9,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1055,1050,-5,1230,1214,-16,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1210,1203,-7,1345,1325,-20,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1335,1332,-3,1505,1448,-17,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1525,1535,10,1700,1652,-8,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1626,,,1756,,,1,A,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1745,1809,24,1920,1928,8,0,,0,,,,,
2011,12,1,4,AA,10397,30397,ATL,"Atlanta, GA",GA,Georgia,11298,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1845,1842,-3,2020,2005,-15,0,,0,,,,,
